Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date,Last Appearance
"SENIOR SOFTWARE ENGINEER, MOBILE (ANDROID) - REMOTE/HYBRID",IMS,"WATERLOO, ON",93765.0,118728.0,2023-10-04,2023-11-22
SENIOR SITE RELIABILITY ENGINEERING DEVELOPER (DEVOPS),ENCIRCLE,"KITCHENER, ON",163309.0,206785.0,2023-10-04,2023-10-11
"SENIOR JAVA DEVELOPER (ONSITE CAMBRIDGE, ON)",VECTORVUE,"KITCHENER, ON",,,2023-10-04,2023-11-22
SOFTWARE DEVELOPER,ONTARIO HEALTH,VARIOUS LOCATIONS,86598.0,109653.0,2023-10-04,2023-10-11
"PRODUCT DEVELOPER, SOFTWARE - ADVANCED RESEARCH",CHRISTIE DIGITAL SYSTEMS INC.,"KITCHENER, ON",76644.0,97048.0,2023-10-04,2023-11-22
FULL STACK WEB DEVELOPER,BICDROID INC.,"WATERLOO, ON",54981.0,69618.0,2023-10-04,2023-11-22
INTERMEDIATE SOFTWARE DEVELOPER (REMOTE),DRIVERCHECK INC.,"KITCHENER, ON",111358.0,141005.0,2023-10-04,2023-10-25
EXPERIENCED FULL STACK WEB DEVELOPER,BOARDERA SOFTWARE,"KITCHENER, ON",77187.0,97736.0,2023-10-04,2023-11-22
STAFF SOFTWARE DEVELOPER,APPLYBOARD,"KITCHENER, ON",80805.0,102318.0,2023-10-04,2023-11-22
BACKEND DEVELOPER,DESCARTES,"WATERLOO, ON",87218.0,110438.0,2023-10-04,2023-10-25
SOFTWARE DEVELOPER,ATS AUTOMATION TOOLING SYSTEMS,"CAMBRIDGE, ON",82094.0,103949.0,2023-10-04,2023-11-15
JAVA DEVELOPER - CANADIAN VISA SPONSORSHIP GLOBAL TALENT STREAM,VENUITI,"KITCHENER, ON",,,2023-10-04,2023-11-22
SOFTWARE DEVELOPER,PEGMATIS INC.,"KITCHENER, ON",121828.5,121828.5,2023-10-04,2023-10-11
SENIOR SOFTWARE DEVELOPER,GO INTEGRATIONS,"TORONTO, ON",70000.0,75000.0,2023-10-04,2023-10-25
CNC PROGRAMMER,THE BAMCO GROUP,"GUELPH, ON",,,2023-10-04,2023-10-18
SOFTWARE DEVELOPER,PEGMATIS INC.,"CAMBRIDGE, ON",121318.65,121318.65,2023-10-04,2023-10-11
SOFTWARE DEVELOPER,MUNDAIR CONSULTING LTD.,"GUELPH, ON",89960.0,89960.0,2023-10-04,2023-11-22
SOFTWARE DEVELOPER,MAKO FINANCIAL TECHNOLOGIES INC.,"CAMROSE, AB",87320.0,87320.0,2023-10-04,2023-11-22
SOFTWARE DEVELOPER,CAPLEO GLOBAL,VARIOUS LOCATIONS,,,2023-10-04,2023-10-18
SOFTWARE DEVELOPER,VIRTEK VISION,"WATERLOO, ON",,,2023-10-04,2023-10-11
SOFTWARE DEVELOPER,GLOBAL DEVELOPMENT WORKS LTD.,"KITCHENER, ON",90480.0,90480.0,2023-10-04,2023-11-22
SOFTWARE DEVELOPER,FORD MOTOR COMPANY,"WATERLOO, ON",,,2023-10-04,2023-11-22
SOFTWARE DEVELOPER,CAPGEMINI ENGINEERING CA,"KITCHENER, ON",,,2023-10-04,2023-10-25
SOFTWARE DEVELOPER,LOGISENSE CORPORATION,"KITCHENER, ON",,,2023-10-04,2023-10-18
CLOUD DEVELOPER,VENUITI,"WATERLOO, ON",,,2023-10-04,2023-10-18
SOFTWARE DEVELOPER,VOIANT GROUP,VARIOUS LOCATIONS,,,2023-10-04,2023-10-25
SOFTWARE DEVELOPER,VON CANADA,"OTTAWA, ON",65996.0,71551.0,2023-10-04,2023-11-01
SOFTWARE DEVELOPER,WRIGHTPLAN INC.,"WATERLOO, ON",79460.0,100614.0,2023-10-04,2023-10-04
"SOFTWARE DEVELOPER III, GOOGLE CLOUD NETWORKING",GOOGLE,"WATERLOO, ON",,,2023-10-04,2023-10-18
SOFTWARE DEVELOPER IN TEST,ONSEMI,"WATERLOO, ON",74156.0,93898.0,2023-10-04,2023-11-22
SOFTWARE DEVELOPER,MARSHALLZEHR,"WATERLOO, ON",78647.0,99584.0,2023-10-04,2023-11-22
SOFTWARE DEVELOPER,SHOPEDGE SOFTWARE INC,"KITCHENER, ON",,,2023-10-04,2023-11-22
SOFTWARE ENGINEER,BOSCH GROUP,"WATERLOO, ON",80148.0,101486.0,2023-10-04,2023-11-22
SOFTWARE DEVELOPER,ISN TECHNOLOGIES,"WATERLOO, ON",75118.0,95116.0,2023-10-04,2023-11-22
FULL STACK DEVELOPER (REMOTE),APPLIED BRAIN RESEARCH,"WATERLOO, ON",,,2023-10-04,2023-11-08
INTERMEDIATE SOFTWARE DEVELOPER (BACK END - JAVA),POWER TAKEOFF,"KITCHENER, ON",,,2023-10-04,2023-10-11
REACTJS DEVELOPER,VENUITI,"WATERLOO, ON",75527.0,95635.0,2023-10-04,2023-10-25
SOFTWARE DEVELOPER,FLANAGAN FOODSERVICE,"KITCHENER, ON",63404.0,80283.0,2023-10-04,2023-11-22
AWS/DEVOPS ENGINEER,VENUITI,"KITCHENER, ON",,,2023-10-04,2023-11-01
SOFTWARE DEVELOPER,D2L,"KITCHENER, ON",89321.0,113100.0,2023-10-04,2023-11-22
SOFTWARE ENGINEERING MANAGER,CEDENT,"WATERLOO, ON",102184.0,129388.0,2023-10-04,2023-11-22
SENIOR WORDPRESS DEVELOPER FOR ECOMMERCE,SIENCI LABS INC.,"WATERLOO, ON",,,2023-10-04,2023-11-01
"TECHNICAL SOLUTIONS DEVELOPER, INFRASTRUCTURE, GOOGLE CLOUD",GOOGLE,"WATERLOO, ON",,,2023-10-04,2023-10-04
SOFTWARE DEVELOPER,PEGMATIS INC.,"GUELPH, ON",121462.47,121462.47,2023-10-04,2023-10-11
SOFTWARE ENGINEER,MEALSUITE,"KITCHENER, ON",90091.0,114076.0,2023-10-04,2023-11-01
"SENIOR SOFTWARE DEVELOPER, PRECISION HEALTH PLATFORM, WORKFLOWS",VERILY,"WATERLOO, ON",97031.0,122862.0,2023-10-04,2023-10-11
